"Date","Time","Open","High","Low","Close","Up","Down","CV","ZeroLine","Zero Cross","UpperBand","LowerBand","MidLine","VolROC","ZeroLine"
02/22/2021,20:02,234.23,234.27,234.12,234.19,18473,10970,-23.75,0.00,0.00,234.60,233.57,234.08,-30.28,0.00
02/22/2021,20:03,234.20,234.22,234.11,234.14,15294,12960,-26.44,0.00,0.00,234.57,233.66,234.11,-51.92,0.00
02/22/2021,20:04,234.15,234.16,234.07,234.10,11101,11007,-34.52,0.00,0.00,234.51,233.77,234.14,-65.28,0.00
02/22/2021,20:05,234.09,234.11,234.02,234.02,11701,13675,-34.03,0.00,0.00,234.47,233.85,234.16,-30.00,0.00
02/22/2021,20:06,234.02,234.12,233.94,234.06,14056,15029,-26.46,0.00,0.00,234.45,233.89,234.17,-49.63,0.00
02/22/2021,20:07,234.04,234.09,234.00,234.04,16167,8086,-25.47,0.00,0.00,234.43,233.92,234.18,-52.09,0.00
02/22/2021,20:08,234.01,234.09,233.97,234.06,11770,7744,-17.18,0.00,0.00,234.42,233.94,234.18,-73.89,0.00
02/22/2021,20:09,234.07,234.29,234.03,234.29,22079,8004,-4.12,0.00,0.00,234.44,233.95,234.19,-9.11,0.00
02/22/2021,20:10,234.30,234.32,234.08,234.19,13623,17751,12.59,0.00,0.00,234.42,233.98,234.20,5.27,0.00
02/22/2021,20:11,234.20,234.28,234.11,234.12,9636,15413,18.59,0.00,0.00,234.42,233.98,234.20,29.36,0.00
02/22/2021,20:12,234.11,234.17,234.08,234.14,11807,5704,7.31,0.00,0.00,234.41,233.97,234.19,-3.84,0.00
02/22/2021,20:13,234.15,234.42,234.15,234.38,30041,30132,27.64,0.00,0.00,234.40,233.98,234.19,45.99,0.00
02/22/2021,20:14,234.37,234.48,234.37,234.46,28474,31136,26.95,0.00,0.00,234.43,233.96,234.19,141.53,0.00
02/22/2021,20:15,234.47,234.49,234.31,234.35,14093,13307,36.85,0.00,0.00,234.42,233.96,234.19,8.99,0.00
